

2021/01/05/14:30

====== soc 100MHz ======

0000 0001 // 019aa84c
0000 0010 // 0b1a49f0
0000 0011 // 1767faa4
0000 0100 // 0fa2f7ba
0000 0101 // 02c397ca
0000 0110 // 0a593dfa
0000 0111 // 09fb84a8
0000 1000 // 0a2efa7c
0000 1001 // 00b913d8
0000 1010 // 0717c468

====== CP0  count ======

0000 0001 // 007b3166
0000 0010 // 0354aec0
0000 0011 // 070596e7
0000 0100 // 04b0e2d4
0000 0101 // 00d4460c
0000 0110 // 031ac4c3
0000 0111 // 02fea6c4
0000 1000 // 030e16db
0000 1001 // 003784ec
0000 1010 // 0220b9d5

